"Chave";"Código";"Nome";"Referência Principal";"Descrição Genérica";"Classe";"CRM";"Un";"Localização física";"Classificação Fiscal";"Procedência";"Modelo";"Eixo";"Mola Freio";"Cor";"Tamanho";"Rodado";"Pneu";"Outras Características";"Volume";"Bruto";"Líquido"
"742098";"618032";"FA4,0 RD FBSCF M98";"618032";"FA4,0 RD FBSCF M98";"Carretas Agrícolas";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;"198";"198"
"774369";"618755";"FA4 RS SSF MFI     CARR MFI  ( CHASSI COM RODAS PARA CARRETA AGRÍCOLA 4 TON )";"618755";"Conjuntos Avulsos";"Carretas Agrícolas";;"Un";;"8716.90.90";"Nacional - 0";;;;;;;;;0;"188";"188"
"29449437";"CBH8 FO SS RD/RD M13";"Carreta Hidráulica 8t (13m3) RD/RD de 2 Eixos – FORRAGEIRA - Molas, Freios e Pneus não Incluídos";"621503";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;"1132";"1122"
"60338029";"CARROCERIA F6 A45 MT";"Carroceria Completa Para Carreta Metálica Fixa 6t de 2 Eixos - ALT 45";"622188";"Carroceria Completa";"Carretas Agrícolas com Carroceria Metálica";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;0;0
"60338063";"CARROCERIA F6 A90 MT";"Carroceria Completa Para Carreta Metálica Fixa 4t de 2 Eixos - ALT 90";"622190";"Carroceria Completa";"Carretas Agrícolas com Carroceria Metálica";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;0;0
"60338164";"F6 CS RS/RS A60 MT M22";"Carreta Metálica Fixa 6t RS/RS de 2 Eixos - ALT 60 - C/ MOLAS - Freios e Pneus não Incluídos";"622183M22";"básica";"Carretas Agrícolas com Carroceria Metálica";"T";"Un";;"8716.20.00";"Nacional - 0";"F6";"2E";"CS";"Laranja";"60cm";"RS/RS";;"CARROC. MET";0;"868";"863"
"60338181";"622184";"ER6CS C/G4,0ER PISO METÁLICO (CARRETA AGRÍCOLA 6T COM CARROCERIA METÁLICA 4,00X1,90X0,90M)+";"622184";"Conjuntos Avulsos";"Carretas Agrícolas com Carroceria Metálica";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;"868";"863"
"60374039";"CARROCERIA F4 A45 MT";"Carroceria Completa Para Carreta Metálica Fixa 4t de 2 Eixos - ALT 45";"622231";"Carroceria Completa";"Carretas Agrícolas com Carroceria Metálica";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;0;0
"60374106";"CARROCERIA F4 A90 MT";"Carroceria Completa Para Carreta Metálica Fixa 4t de 2 Eixos - ALT 90";"622233";"Carroceria Completa";"Carretas Agrícolas com Carroceria Metálica";;"Un";;"8716.20.00";"Nacional - 0";;;;;;;;;0;0;0
"60504309";"CBHM5000 GR SS RD M17";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - Molas, Freios e Pneus não Incluídos";"614932M17";"Graneleira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Laranja";;"RD";;;0;"910";"900"
