familia;codigo;descricao;representante;
CBH12;CBH12 SS RS/T R15,5 M22;"Carreta Hidráulica 12t (19m3) RS/T de 2 Eixos - FORRAGEIRA - RODA 15,5"" - Molas, Freios e Pneus não Incluídos";Galo;23
CBH12;CBH12 SS RS/T R15,5 P400 M22;"Carreta Hidráulica 12t (19m3) RS/T de 2 Eixos - FORRAGEIRA - RODA 15,5"" - C/ PNEUS ALTA FLUTUAÇÃO - Molas, Freios não Incluídos";Galo;28
CBH3,5;CBH3,5 UG CS RS M21;Carreta Hidráulica 3,5t (3m3) RS de 1 Eixo - USO GERAL - C/ MOLAS - Freios e Pneus não Incluídos;Galo;19
CBH3,5;CBH3,5 UG SS RS M21;Carreta Hidráulica 3,5t (3m3) RS de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;19
CBH3,5;CBH3,5 UG SS RS MM M21;Carreta Hidráulica 3,5t (3m3) RS de 1 Eixo - USO GERAL - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;22
CBH5;CBH5 FO CS RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 FO SC RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;17
CBH5;CBH5 FO SC RD MM M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO SC RD MM P750(I) M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES + PNEUS - Molas não Incluído;Galo;28
CBH5;CBH5 FO SC RD BE M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO SC RD BE MM M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos;Galo;23
CBH5;CBH5 FO SC T M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;16
CBH5;CBH5 FO SC T MM M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO SS RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 FO SS RD MM M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO SS RD MM P750(I) M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS - Molas e Freios não Incluídos+;Galo;28
CBH5;CBH5 FO SS RD P750(I) M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH5;CBH5 FO SS T M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;16
CBH5;CBH5 FO SS T MM M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO SS T MM P750(I) M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES + PNEUS 750(I) - Molas e Freios não Incluídos;Galo;27
CBH5;CBH5 FO SS T BE M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO-1M CS RD M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MOLAS - Freios e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO-1M CS RD P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MOLAS + PNEUS - Freios não Incluídos;Galo;28
CBH5;CBH5 FO-1M SC RD M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídas;Galo;20
CBH5;CBH5 FO-1M SC RD MM P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES + PNEUS - Molas não Incluídas+;Galo;31
CBH5;CBH5 FO-1M SS RD M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO-1M SS RD MM M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MANG MAIORES - Molas, Freios e Pneus não incluídos;Galo;23
CBH5;CBH5 FO-1M SS RD MM P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS + MANG MAIORES - Molas e Freios não incluídos;Galo;31
CBH5;CBH5 FO-1M SS RD P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS - Molas e Freios não Incluídos;Galo;28
CBH5;CBH5 FO-1M SS RD BE M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos;Galo;23
CBH5;CBH5 FO-1M SS T M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO-1M SS T MM M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos;Galo;22
CBH5;CBH5 FO-1M SS T MM P750(I) M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ MANG MAIORES + PNEUS 750(I) - Molas e Freios não Incluídos;Galo;30
CBH5;CBH5 FO-1M SS T BE M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos;Galo;22
CBH5;CBH5 FO-1M SS T BE MM P750(I) M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - MANG. MAIORES - C/PNEUS 750(I) - Molas e Freios não Incluídos;Galo;33
CBH5;CBH5 UG CS RD M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS - Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 UG CS RD P750(I) M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos;Galo;25
CBH5;CBH5 UG SC T M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ FREIOS - Molas e Pneus não Incluídos;Galo;16
CBH5;CBH5 UG SS RD M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 UG SS RD P750(I) M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH5;CBH5 UG SS T M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;16
CBH5;CBH5 UG SS T MM M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
